auth_ts;uid
911382223;1
932683089;2
932921206;2
933393015;2
933875379;2
934372615;2
934662633;2
935002586;2
935141232;2
935682752;2
935997357;2
936224929;2
936369549;2
936845332;2
937325130;2
937837910;2
938323218;2
938759547;2
939083581;2
939361601;2
939470731;2
939700082;2
940114459;2
940306145;2
940514478;2
940920921;2
941235049;2
941756576;2
942318635;2
942568026;2
942701489;2
943101823;2
943689216;2
944059661;2
944654708;2
945039687;2
945482958;2
945897867;2
946307858;2
946753332;2
947270204;2
947722817;2
947802447;3
947953832;2
948192409;2
948413832;2
949005508;2
949332273;2
949538423;2
950111818;2
950506726;2
950887979;2
951091057;2
951485120;2
951591320;2
951989476;2
952578648;2
952946361;2
953368318;2
953748790;2
953927895;2
954374855;2
954811196;2
955157670;2
955529317;2
956074667;2
956551263;2
956726858;2
957243970;2
957771856;2
958296455;2
958723810;2
958961463;2
959394462;2
959523541;4
959753449;2
960151247;2
960255569;2
960819147;2
961087623;2
961547252;2
961749446;2
962013943;2
962577440;2
963064122;2
963206563;2
963389670;2
963863401;2
964346297;2
964685094;2
965042235;2
965269050;2
965799447;2
966016829;2
966495259;2
966621495;2
966745969;2
967125467;2
967388970;2
967780898;2
968237739;2
968522423;2
969055176;2
969103313;5
969436247;2
969568843;2
969658021;2
969997804;2
970173562;2
970289506;2
970614656;2
971219404;2
971813949;2
972003459;2
972584115;2
973075523;2
973411372;2
973878980;2
974347870;2
974806168;2
975010154;2
975118673;2
975297561;2
975702184;2
975856282;2
976272644;2
976518928;2
976684959;2
977139342;2
977206495;6
977507003;2
977623059;2
978097203;2
978609214;2
978759221;2
979210094;2
979667655;2
980188823;2
980619296;2
981072981;2
981273320;2
981602546;2
981916926;2
982185152;2
982465327;2
982894547;2
983093367;2
983608975;2
984181871;2
984222671;7
984765746;2
985291132;2
985804996;2
986403736;2
986739157;2
987143138;2
987344730;2
987929676;2
988400421;2
988515445;2
989098765;2
989629151;2
990095303;2
990346175;2
990407778;8
990882562;2
991053596;2
991237708;2
991513159;2
991662138;2
991759987;2
991942473;2
992117877;2
992408170;2
992604672;2
992870786;2
993338015;2
993432587;2
993564641;2
993724247;2
994163272;2
994519971;2
994723010;2
995090648;2
995574196;2
995872112;2
995943765;9
996414095;2
996544542;2
996680549;2
996942647;2
997510754;2
997862983;2
998358335;2
998764873;2
999055410;2
999583079;2
999974352;2
1000276595;2
1000864208;2
1000951674;10
1001141843;2
1001438430;2
1001793084;2
1002274441;2
1002634126;2
1003005353;2
1003415122;2
1003895214;2
1004310427;2
1004821147;2
1005150684;2
1005527137;11
1005668984;2
1006029101;2
1006252304;2
1006827992;2
1007198050;2
1007472333;2
1007758519;2
1008149763;2
1008346205;2
1008670094;2
1009180818;2
1009325650;2
1009715968;2
